specialUser;nonSpecialUser;Start time (seconds);End time (seconds);Time together (seconds)
176;15;90;150;60
176;140;90;150;60
176;109;150;210;60
176;45;270;330;60
176;88;270;330;60
176;110;480;600;120
176;85;510;600;90
176;90;510;600;90
176;109;510;600;90
176;20;480;630;150
176;106;480;630;150
176;139;480;630;150
176;151;570;630;60
176;10;420;660;240
176;150;420;660;240
176;39;510;690;180
176;74;510;690;180
176;86;510;690;180
176;97;510;690;180
176;19;570;780;210
176;115;570;780;210
176;131;600;810;210
176;171;600;810;210
176;151;690;810;120
176;39;750;810;60
176;74;750;810;60
176;86;750;810;60
176;97;750;810;60
176;104;750;810;60
176;14;1680;1890;210
176;16;1680;1890;210
176;175;1680;1890;210
176;59;1890;2040;150
176;54;1980;2040;60
176;83;1980;2040;60
176;48;1770;2070;300
176;65;1770;2070;300
176;39;1680;2130;450
176;74;1680;2130;450
176;86;1680;2130;450
176;97;1680;2130;450
176;18;1740;2130;390
176;1;2190;2250;60
176;73;2190;2250;60
176;23;2730;2850;120
176;67;2730;2850;120
176;70;2730;2850;120
176;84;2730;2850;120
176;94;2730;2850;120
176;107;2730;2850;120
176;108;2880;2970;90
176;100;2880;3150;270
176;133;2880;3150;270
176;145;2880;3150;270
176;173;2880;3150;270
176;108;3030;3150;120
176;18;3150;3210;60
