id_item;Number of users;Rating;Time (seconds)
224;0;4.0;0
253;0;4.0;33
225;0;4.0;64
136;1;4.0;105
100;1;4.0;139
77;1;5.0;249
237;1;4.0;292
239;1;4.0;333
222;1;4.0;442
223;1;4.0;472
124;1;4.0;527
123;0;4.0;564
125;0;4.0;600
126;0;4.0;636
93;0;4.0;672
94;1;4.0;708
85;1;4.0;771
122;1;4.0;885
171;0;4.0;938
170;0;4.0;979
169;0;4.0;1016
168;0;4.0;1054
119;0;4.0;1094
120;1;4.0;1135
121;0;4.0;1171
185;1;4.0;1226
183;0;4.0;1262
184;0;4.0;1296
280;1;4.0;1462
279;0;4.0;1506
278;0;4.0;1542
277;0;4.0;1578
276;0;4.0;1614
99;1;4.0;1771
98;0;3.0;1815
97;0;4.0;1855
133;0;4.0;1896
172;0;4.0;1942
173;1;4.0;1979
128;1;4.0;2077
96;1;3.0;2119
95;0;4.0;2156
130;1;3.0;2214
131;0;4.0;2249
132;0;3.0;2289
52;1;3.0;2376
262;1;2.0;2416
76;1;5.0;2464
161;1;4.0;2505
118;0;4.0;2538
101;1;4.0;2583
268;1;3.0;2638
269;0;4.0;2670
12;1;5.0;2717
13;0;4.0;2753
14;0;4.0;2792
83;1;5.0;2929
74;1;3.0;2969
59;1;4.0;3009
60;1;5.0;3043
7;1;4.0;3091
8;0;5.0;3123
233;1;4.0;3165
256;1;4.0;3207
211;1;4.0;3256
210;0;3.0;3290
72;3;3.0;3334
71;0;3.0;3368
134;3;4.0;3415
221;1;3.0;3456
73;1;4.0;3506
270;1;3.0;3548
82;1;3.0;3595
